request_type,date_from,date_to,count,status_code,fetch_status,message,process_date,doc_id,doc_type_code,filer_name,filer_name_eng,edinet_code,sec_code,period_start,period_end,submit_date_time,form_code,seq_number,fund_code,doc_description,jcn,xbrl_flag,pdf_flag,csv_flag
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U0UA,140,株式会社ダイセキ,"Daiseki Co., Ltd.",E04931,97930,2024-03-01,2024-05-31,2024-07-12 09:00:00,043000,1,,四半期報告書－第67期第1四半期(2024/03/01－2024/05/31),6180001006700,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TJ4P,120,野村アセットマネジメント株式会社,"Nomura Asset Management Co., Ltd.",E12460,,2023-10-17,2024-04-16,2024-07-12 09:00:00,07A000,2,G12845,有価証券報告書（内国投資信託受益証券）－第13期(2023/10/17－2024/04/16),7010001054021,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U1D3,140,株式会社キユーソー流通システム,"Kyuso Distribution System Co., Ltd.",E04213,93690,2024-03-01,2024-05-31,2024-07-12 09:00:00,043000,4,,四半期報告書－第59期第2四半期(2024/03/01－2024/05/31),7012401007541,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TD1L,120,日興アセットマネジメント株式会社,"Nikko Asset Management Co., Ltd.",E12430,,2023-04-18,2024-04-15,2024-07-12 09:00:00,07A000,6,G04346,有価証券報告書（内国投資信託受益証券）－第19期(2023/04/18－2024/04/15),8010401072159,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U05T,120,ＰａｙＰａｙアセットマネジメント株式会社,"PayPay Asset Management Co., Ltd.",E14601,,2023-03-22,2024-04-15,2024-07-12 09:00:00,07A000,7,G14779,有価証券報告書（内国投資信託受益証券）－第1期(2023/03/22－2024/04/15),2010401079382,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U081,120,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-04-15,2024-04-15,2024-07-12 09:00:00,07A000,10,G13484,有価証券報告書（内国投資信託受益証券）－第5期(2023/04/15－2024/04/15),9010001021473,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TJG9,120,野村アセットマネジメント株式会社,"Nomura Asset Management Co., Ltd.",E12460,,2023-11-16,2024-05-15,2024-07-12 09:00:00,07A000,11,G12840,有価証券報告書（内国投資信託受益証券）－第13期(2023/11/16－2024/05/15),7010001054021,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U1AK,140,エコートレーディング株式会社,"Echo Trading Co., Ltd.",E02801,74270,2024-03-01,2024-05-31,2024-07-12 09:00:00,043000,12,,四半期報告書－第54期第1四半期(2024/03/01－2024/05/31),4140001068093,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TM9A,120,ニッセイアセットマネジメント株式会社,"Nissay Asset Management Co., Ltd.",E12453,,2023-10-17,2024-04-15,2024-07-12 09:00:00,07A000,14,G13618,有価証券報告書（内国投資信託受益証券）－第9期(2023/10/17－2024/04/15),9010001025953,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TJ4S,040,野村アセットマネジメント株式会社,"Nomura Asset Management Co., Ltd.",E12460,,,,2024-07-12 09:01:00,04A001,16,G12845,訂正有価証券届出書（内国投資信託受益証券）,7010001054021,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TZQR,160,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-10-13,2024-10-15,2024-07-12 09:01:00,10A000,17,G07380,半期報告書（内国投資信託受益証券）－第16期(2023/10/13－2024/10/15),9010001021473,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TZRH,160,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-10-13,2024-10-15,2024-07-12 09:01:00,10A000,18,G11468,半期報告書（内国投資信託受益証券）－第9期(2023/10/13－2024/10/15),9010001021473,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TZQX,160,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-10-13,2024-10-15,2024-07-12 09:01:00,10A000,19,G07382,半期報告書（内国投資信託受益証券）－第16期(2023/10/13－2024/10/15),9010001021473,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TD1K,030,日興アセットマネジメント株式会社,"Nikko Asset Management Co., Ltd.",E12430,,,,2024-07-12 09:01:00,04A000,20,G04346,有価証券届出書（内国投資信託受益証券）,8010401072159,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U1HP,140,イーサポートリンク株式会社,"E-Support Link Co., Ltd.",E05611,24930,2024-03-01,2024-05-31,2024-07-12 09:01:00,043000,21,,四半期報告書－第27期第2四半期(2024/03/01－2024/05/31),2013301018864,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U068,030,ＰａｙＰａｙアセットマネジメント株式会社,"PayPay Asset Management Co., Ltd.",E14601,,,,2024-07-12 09:01:00,04A000,22,G14779,有価証券届出書（内国投資信託受益証券）,2010401079382,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U0PH,140,株式会社ライフフーズ,"Life Foods Co., Ltd.",E03490,30650,2024-03-01,2024-05-31,2024-07-12 09:01:00,043000,23,,四半期報告書－第39期第1四半期(2024/03/01－2024/05/31),4120901008761,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100TZX3,160,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-10-13,2024-10-15,2024-07-12 09:01:00,10A000,24,G12598,半期報告書（内国投資信託受益証券）－第8期(2023/10/13－2024/10/15),9010001021473,True,True,True
daily,2024-07-12,2024-07-12,470,200,200,OK,2025-12-05 14:17:52.080640+00:00,S100U08T,160,アセットマネジメントＯｎｅ株式会社,"Asset Management One Co., Ltd.",E10677,,2023-10-13,2024-10-15,2024-07-12 09:01:00,10A000,25,G13443,半期報告書（内国投資信託受益証券）－第6期(2023/10/13－2024/10/15),9010001021473,True,True,True
